employee_id,review_cycle,performance_rating,manager_feedback,review_date,goals_met_percentage,peer_feedback,promoted,bonus_awarded
1,2023 Annual,Below Expectations,Needs improvement.,2024-06-15,98.8,View scientist any industry five former senior.,False,1422.5
1,2024 Mid-Year,Below Expectations,Needs improvement.,2024-01-30,88.0,Blood create result effect explain laugh.,False,4498.24
2,2023 Annual,Below Expectations,Needs improvement.,2024-04-16,83.7,Red deal enter which goal option.,False,7150.93
2,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-01-04,76.1,Above arm interesting main discussion specific and population while message.,False,202.18
3,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-09,87.5,,False,1287.48
3,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-25,89.2,Know it remember goal hit determine cultural.,False,1632.01
4,2023 Annual,Meets Expectations,Needs improvement.,2024-01-27,80.8,,False,5404.21
4,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-23,69.4,Analysis individual American law almost again performance several page.,False,4087.38
5,2023 Annual,Below Expectations,Needs improvement.,2024-06-19,52.3,Course great design cause until statement international language space.,False,3052.66
5,2024 Mid-Year,Below Expectations,Needs improvement.,2024-03-21,98.3,,False,430.42
6,2023 Annual,Meets Expectations,Needs improvement.,2024-02-27,95.6,Player myself remember different or end program experience best decide.,False,5637.03
6,2024 Mid-Year,Below Expectations,Needs improvement.,2024-06-03,59.8,Real ten they if fire between cover improve.,False,5799.32
7,2023 Annual,Below Expectations,Needs improvement.,2024-01-20,59.3,Bar chance keep I Republican energy special our.,False,1390.36
7,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-03-12,77.8,,False,1040.53
8,2023 Annual,Meets Expectations,Needs improvement.,2024-04-29,85.5,Medical close detail thus.,False,1238.45
8,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-09,80.8,Short sound administration focus what not prevent.,False,5295.12
9,2023 Annual,Meets Expectations,Needs improvement.,2024-01-19,89.2,,False,2542.87
9,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-09,58.0,Religious medical bed more high hot least own.,False,4344.64
10,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-18,66.6,Pressure economy road so anyone mission but natural deep.,False,2886.38
10,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-01,99.8,,False,6589.51
11,2023 Annual,Below Expectations,Needs improvement.,2024-03-29,72.3,Fast girl put small see white.,False,7235.97
11,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-23,94.3,,False,3050.98
12,2023 Annual,Meets Expectations,Needs improvement.,2024-05-18,86.2,Majority clearly expert teach teacher seem side receive image.,False,197.65
12,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-10,72.3,,False,350.81
13,2023 Annual,Below Expectations,Needs improvement.,2024-01-22,97.4,Pull commercial back world lose leader nation similar visit per.,False,1339.16
13,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-09,53.3,Book information travel area check painting campaign watch.,False,5362.68
14,2023 Annual,Meets Expectations,Needs improvement.,2024-01-27,60.3,Sometimes get should much son grow weight.,False,6629.99
14,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-14,90.8,,False,576.96
15,2023 Annual,Below Expectations,Needs improvement.,2024-03-25,51.9,,False,585.98
15,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-27,91.1,Cultural candidate decade like movement red feeling check floor next.,False,7287.89
16,2023 Annual,Meets Expectations,Needs improvement.,2024-04-20,65.8,,False,3116.01
16,2024 Mid-Year,Below Expectations,Needs improvement.,2024-06-07,53.2,Nothing decision college house city human call usually eat.,True,5967.61
17,2023 Annual,Meets Expectations,Needs improvement.,2024-05-08,55.3,,False,6295.14
17,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-04-07,69.8,Vote site particularly guy feel bad without decision oil.,False,5285.79
18,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-10,89.8,Conference wind market write example.,False,6795.74
18,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-22,94.3,Kitchen church in blue right piece health street certain.,False,7722.92
19,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-21,93.7,System try although prepare share style citizen deal rather.,True,1130.99
19,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-05-17,77.4,Again wait force mouth success.,False,681.01
20,2023 Annual,Below Expectations,Needs improvement.,2024-03-29,60.6,,False,7245.02
20,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-26,80.8,Worker development reflect hope us brother cultural least provide let.,False,2021.93
21,2023 Annual,Below Expectations,Needs improvement.,2024-01-14,92.6,Increase activity single ahead law ground final I world trial.,False,7458.96
21,2024 Mid-Year,Below Expectations,Needs improvement.,2024-01-19,64.5,Many red seek realize strong help rule.,True,538.9
22,2023 Annual,Meets Expectations,Needs improvement.,2024-03-25,67.9,,False,5370.36
22,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-19,65.9,Use me trip wife impact employee modern.,False,3605.17
23,2023 Annual,Below Expectations,Needs improvement.,2024-02-09,78.3,Letter option less leg theory blood role.,False,2915.95
23,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-21,62.3,Culture relationship create detail item dog morning traditional race.,False,1772.21
24,2023 Annual,Meets Expectations,Needs improvement.,2024-02-04,84.0,International event season far tree will.,False,2652.5
24,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-05-04,77.6,Region statement something chair war entire product six.,False,1406.16
25,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-17,59.8,Right campaign job test join section.,False,5868.36
25,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-09,81.6,Can interview short instead personal issue relate its stock during.,False,6501.14
26,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-10,77.6,Billion describe record million.,False,4347.75
26,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-03,69.6,Course determine strategy former professor education themselves everybody.,False,7131.5
27,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-28,75.1,,False,724.43
27,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-06,84.2,,False,6057.65
28,2023 Annual,Below Expectations,Needs improvement.,2024-05-24,83.0,Amount hit fear watch art.,False,7741.88
28,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-01-11,60.9,Voice why away really what.,True,3901.14
29,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-20,60.3,Experience standard traditional south anything.,False,7261.81
29,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-01-12,52.0,Their short dream read coach husband store box daughter still.,False,5188.2
30,2023 Annual,Below Expectations,Needs improvement.,2024-03-11,91.7,,False,2106.53
30,2024 Mid-Year,Below Expectations,Needs improvement.,2024-04-06,68.3,We play PM available my.,False,5226.69
31,2023 Annual,Meets Expectations,Needs improvement.,2024-02-27,75.8,By site at development gun time.,False,2823.18
31,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-03,50.3,,False,7056.27
32,2023 Annual,Below Expectations,Needs improvement.,2024-06-13,64.0,Believe soldier contain scientist large no material no nature support off.,False,1201.92
32,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-18,61.5,Natural blue necessary Congress various serve federal area technology.,False,6489.38
33,2023 Annual,Meets Expectations,Needs improvement.,2024-05-02,60.5,,False,1289.97
33,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-02,78.7,,False,1289.03
34,2023 Annual,Below Expectations,Needs improvement.,2024-02-07,52.8,Lawyer forget scientist type.,False,2066.08
34,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-24,81.9,Investment old somebody clearly approach concern information.,False,7028.07
35,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-25,72.5,,False,7942.21
35,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-02,57.1,Law business firm trouble management side learn management Mrs military.,False,4661.17
36,2023 Annual,Below Expectations,Needs improvement.,2024-03-08,58.4,Age decision far test eye although reality including.,False,5484.73
36,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-28,68.9,Become investment general maybe physical industry.,True,1057.71
37,2023 Annual,Below Expectations,Needs improvement.,2024-06-24,71.0,North there act culture.,True,1196.49
37,2024 Mid-Year,Below Expectations,Needs improvement.,2024-06-02,52.0,,False,6270.95
38,2023 Annual,Meets Expectations,Needs improvement.,2024-06-17,56.5,Discuss any thousand exactly box say open.,False,4827.8
38,2024 Mid-Year,Below Expectations,Needs improvement.,2024-06-15,71.6,Her about goal really nice wife responsibility action spring anyone.,False,3365.47
39,2023 Annual,Meets Expectations,Needs improvement.,2024-02-28,96.9,Herself green choice few federal design nor film might maintain.,False,3856.99
39,2024 Mid-Year,Below Expectations,Needs improvement.,2024-06-27,78.8,Election need whom than so reason similar.,False,3403.92
40,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-13,79.9,,False,4349.85
40,2024 Mid-Year,Below Expectations,Needs improvement.,2024-01-02,78.9,Paper she friend question party future dream front manage wife.,True,942.63
41,2023 Annual,Below Expectations,Needs improvement.,2024-03-21,70.4,Reality wait hundred opportunity animal require network.,False,852.67
41,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-05-17,71.2,Wrong those result be again drop you.,False,2925.15
42,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-15,77.6,Defense consider federal speak seek exactly cultural boy.,False,4460.5
42,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-03-05,99.4,Again address never make.,False,4621.21
43,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-17,56.0,Build table least health whole two specific also kitchen.,False,1838.17
43,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-24,75.4,As cell suddenly sense them many manage analysis paper some option.,False,6288.65
44,2023 Annual,Below Expectations,Needs improvement.,2024-06-29,52.6,Call maybe writer visit hotel never.,False,3112.83
44,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-30,96.3,,True,3483.02
45,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-04,51.9,Fire exactly find light summer.,False,3074.61
45,2024 Mid-Year,Below Expectations,Needs improvement.,2024-03-14,85.6,Trade hope maybe like light song short war.,False,4779.78
46,2023 Annual,Below Expectations,Needs improvement.,2024-05-06,71.9,Determine garden certain he party since almost me benefit.,False,1613.66
46,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-02-19,51.7,,False,4796.12
47,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-21,51.8,,True,1914.05
47,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-04-12,67.7,Indeed her ten author really choice human subject course.,False,3161.14
48,2023 Annual,Below Expectations,Needs improvement.,2024-06-29,53.4,Effort send return across attorney role treatment effort former.,False,721.33
48,2024 Mid-Year,Below Expectations,Needs improvement.,2024-03-30,67.4,Improve across agree concern decade right show would hospital particular.,False,6524.12
49,2023 Annual,Meets Expectations,Needs improvement.,2024-04-13,78.7,,False,2088.86
49,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-08,64.7,Leg particular true pick staff listen center certain similar church.,False,7576.12
50,2023 Annual,Below Expectations,Needs improvement.,2024-05-27,62.5,Rich detail do technology such else.,False,3542.15
50,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-27,98.1,Degree final inside together whom executive.,False,3670.79
51,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-03,55.8,So involve term next follow must take.,False,540.43
51,2024 Mid-Year,Below Expectations,Needs improvement.,2024-06-28,61.5,Low yard that sport simply certainly against door crime billion.,False,2525.85
52,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-28,91.6,Charge management system information candidate figure.,True,1986.06
52,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-01-20,77.7,,False,1427.89
53,2023 Annual,Below Expectations,Needs improvement.,2024-03-09,59.1,,False,5969.25
53,2024 Mid-Year,Below Expectations,Needs improvement.,2024-02-21,61.7,,False,1936.45
54,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-07,67.8,,False,6231.51
54,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-06,80.7,,False,6113.95
55,2023 Annual,Meets Expectations,Needs improvement.,2024-04-05,81.0,Source born small make amount movement catch bring bank story.,False,3938.72
55,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-05-05,59.1,Include administration condition issue south glass series sister him right.,False,6114.1
56,2023 Annual,Below Expectations,Needs improvement.,2024-02-02,52.7,Herself tend support rest want and prepare sell especially local.,False,6394.16
56,2024 Mid-Year,Below Expectations,Needs improvement.,2024-03-29,69.7,Large laugh business stuff full.,False,5490.71
57,2023 Annual,Below Expectations,Needs improvement.,2024-05-12,73.0,,True,5513.68
57,2024 Mid-Year,Below Expectations,Needs improvement.,2024-01-26,66.3,Catch girl candidate step surface old reach doctor step cell.,False,4902.22
58,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-09,73.6,City effort debate institution door anyone.,False,4904.67
58,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-17,85.0,,False,2978.48
59,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-26,56.6,,False,4607.14
59,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-03-01,77.8,Another laugh me picture born some deal his opportunity.,False,6850.47
60,2023 Annual,Below Expectations,Needs improvement.,2024-02-08,73.6,,False,77.94
60,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-12,76.7,,False,2525.82
61,2023 Annual,Below Expectations,Needs improvement.,2024-01-13,69.9,Pass quite north kid pretty join enter president feel especially.,True,5524.35
61,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-10,54.8,Air forward each toward professional will bank fish generation.,False,5956.75
62,2023 Annual,Below Expectations,Needs improvement.,2024-03-06,67.2,Policy play stage PM list increase government majority sign.,False,3294.09
62,2024 Mid-Year,Below Expectations,Needs improvement.,2024-02-20,78.8,Often help service various year wife.,False,5198.92
63,2023 Annual,Meets Expectations,Needs improvement.,2024-03-31,66.3,Street keep might economy door current reality paper memory address.,False,4083.56
63,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-07,80.7,Measure me possible nor new future occur surface.,False,3710.02
64,2023 Annual,Below Expectations,Needs improvement.,2024-03-27,71.1,Party similar quality local control.,False,4898.48
64,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-11,67.2,Benefit eat daughter purpose real miss not friend.,False,2507.86
65,2023 Annual,Below Expectations,Needs improvement.,2024-06-14,69.8,Street couple thus include she strategy fact discover themselves quality.,False,7101.53
65,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-30,76.0,New break institution many suffer source.,False,3602.31
66,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-01,83.1,,False,7523.5
66,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-11,55.2,Method production recognize then tell.,False,510.34
67,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-11,76.2,Dog artist leg soldier style American social pick.,False,7968.11
67,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-16,96.6,So low every stop art spring note resource I.,False,3118.77
68,2023 Annual,Meets Expectations,Needs improvement.,2024-06-09,56.3,,False,4213.94
68,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-03-24,93.2,Tax method room model decade clearly degree car glass partner school.,False,3737.55
69,2023 Annual,Below Expectations,Needs improvement.,2024-04-23,56.8,Enough make grow war pressure whom.,False,7587.89
69,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-10,87.4,Loss change magazine such seek couple before weight turn value.,False,7018.35
70,2023 Annual,Below Expectations,Needs improvement.,2024-03-20,95.4,,False,3853.21
70,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-04-03,70.6,Morning serve finally sign.,True,1245.74
71,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-29,64.3,Seven necessary firm season minute voice present talk million.,False,4280.79
71,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-03-17,50.5,,False,3443.48
72,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-20,68.7,Adult turn listen site water since.,False,3293.89
72,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-14,69.5,Start could degree heart view large off catch tell.,False,3026.86
73,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-12,88.2,Return scene rich cover character nature price ask hard.,False,7279.64
73,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-15,87.1,Agent thought guy audience significant police.,False,6470.47
74,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-04,64.5,,False,5095.14
74,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-05,59.4,Design article year exactly quickly dream sea.,True,155.16
75,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-27,64.1,,False,1000.31
75,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-08,50.7,Dog safe population of turn let cup fast how writer.,False,1737.5
76,2023 Annual,Meets Expectations,Needs improvement.,2024-04-05,73.2,Sell by most million total exist debate right bad store.,False,6331.4
76,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-15,63.3,,False,3139.37
77,2023 Annual,Meets Expectations,Needs improvement.,2024-04-07,91.4,,False,975.69
77,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-03-04,86.9,Personal keep receive entire bank accept.,False,268.08
78,2023 Annual,Below Expectations,Needs improvement.,2024-06-19,99.1,Drug person support daughter nor leave point option keep.,False,3782.6
78,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-02-10,81.5,Win measure boy hit cup brother live beyond indicate.,False,337.49
79,2023 Annual,Meets Expectations,Needs improvement.,2024-05-03,81.9,Each realize degree practice less animal after social last many.,False,1589.79
79,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-29,61.8,Free include thing deal life ready.,True,3473.29
80,2023 Annual,Below Expectations,Needs improvement.,2024-01-31,69.8,My level main knowledge it should machine before.,False,1944.71
80,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-01,84.4,,False,1239.94
81,2023 Annual,Meets Expectations,Needs improvement.,2024-01-24,84.3,It prove church training likely speak put remain.,False,2707.38
81,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-16,67.8,,False,1231.35
82,2023 Annual,Meets Expectations,Needs improvement.,2024-02-29,65.8,Alone why share season site husband recent family fill oil.,False,4466.8
82,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-02-19,51.1,,False,3022.15
83,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-04,85.3,Thank billion soldier I both training become decide those.,False,4472.2
83,2024 Mid-Year,Below Expectations,Needs improvement.,2024-02-17,77.2,Specific find receive change pick.,False,2589.45
84,2023 Annual,Below Expectations,Needs improvement.,2024-05-21,58.0,Thing common music form performance.,False,4249.1
84,2024 Mid-Year,Below Expectations,Needs improvement.,2024-04-03,72.7,Effort right feel city thing after benefit always tough.,False,6207.34
85,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-07,92.8,Analysis offer suddenly might part executive.,False,6208.13
85,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-17,91.0,Imagine between administration partner brother paper simple quality clearly.,False,1518.96
86,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-05,64.2,,False,3278.44
86,2024 Mid-Year,Below Expectations,Needs improvement.,2024-01-18,52.2,,False,7502.4
87,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-04,59.6,Key your between make most company onto soldier opportunity.,False,254.54
87,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-05-14,81.2,,True,4722.41
88,2023 Annual,Below Expectations,Needs improvement.,2024-01-19,50.7,Perform foot offer throw crime movie.,False,7368.28
88,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-29,90.1,Two resource writer policy region above simple even apply successful.,False,485.6
89,2023 Annual,Meets Expectations,Needs improvement.,2024-04-04,89.7,Too often address music hit senior dark case spring morning.,False,466.4
89,2024 Mid-Year,Below Expectations,Needs improvement.,2024-01-19,91.7,Especially and ability successful ground serve piece a.,False,623.48
90,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-29,76.6,,False,1515.68
90,2024 Mid-Year,Below Expectations,Needs improvement.,2024-02-15,77.9,This law detail over attack class moment.,False,4465.13
91,2023 Annual,Below Expectations,Needs improvement.,2024-04-01,83.7,,False,5620.4
91,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-20,70.1,Man key describe force between give between.,False,2700.1
92,2023 Annual,Meets Expectations,Needs improvement.,2024-03-31,95.1,Despite deal wish sea test despite but experience test outside movement.,False,4400.65
92,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-11,71.5,Ground after institution serious section full end ball life for.,False,5806.94
93,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-06,88.3,Ground rich science company director property without season peace.,False,7409.18
93,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-04-11,50.0,,False,277.3
94,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-18,50.3,Only detail officer room more piece able majority low market.,False,7875.16
94,2024 Mid-Year,Below Expectations,Needs improvement.,2024-03-11,96.0,Offer family trade such pass.,False,4090.17
95,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-10,73.0,Economy challenge include yes unit recent still reason voice.,False,1248.86
95,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-29,62.8,Young service off address investment.,False,2402.42
96,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-20,86.2,Perform season born back major.,False,6343.23
96,2024 Mid-Year,Below Expectations,Needs improvement.,2024-06-28,78.8,Message laugh kitchen recently.,False,7261.25
97,2023 Annual,Below Expectations,Needs improvement.,2024-05-27,69.1,Service budget activity issue serious citizen.,False,6240.98
97,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-04-16,96.5,Maybe just culture town hit four sport.,False,964.32
98,2023 Annual,Below Expectations,Needs improvement.,2024-01-03,81.7,Particularly blood entire across site interest several effort.,True,5057.55
98,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-05-18,78.2,,False,2614.65
99,2023 Annual,Below Expectations,Needs improvement.,2024-04-10,98.6,,False,6022.72
99,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-03-15,89.3,Ball your consumer market summer.,False,1184.1
